filename,parent,extent,collectionCallNumber,boxFolder,accessionNumber,masterFilename,dateDigitized,dateCreated,series,title,description,description,contributor,contributor,contributor,subjectTopic,subjectName,subjectPlace,physicalFormat,resourceType,description,donorProvenance,relatedResource,rightsStatement,accessRights,rightsStatus,publisher,publisherHomepage,
,,215 concerts,MS 64; MS 414,,,,,,,Cabrillo Music Festival of Contemporary Music Recordings Collection,"The Cabrillo Festival of Contemporary Music (previously Cabrillo Music Festival), is an annual music festival featuring symphonic works by contemporary composers that takes place in Santa Cruz, California. The Cabrillo Music Festival of Contemporary Music Recordings Collection includes recorded audio of festival performances from 1964-1990. These recordings were created by two California independent radio stations KUSP and KPFA, and in turn collected by the Cabrillo Festival and the San Francisco-based music organization Other Minds. UCSC Library Special Collections & Archives holds the organizational records of the Cabrillo Festival and Other Minds.

These recordings were digitally reformatted from their original open-reel and cassette tape formats in 2019. This project was supported by a Recordings at Risk grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.",,,,,,,,,http://purl.org/dc/dcmitype/Collection,Digitized from reel-to-reel tapes.,,,"This work is available from the UC Santa Cruz Library upon request. Please contact Special Collections & Archives for access. This digital copy of the work is intended to support research, teaching, and private study. This work is protected by U.S. Copyright Law (Title 17, U.S.C.). Use of this work beyond that allowed by fair use requires written permission of the copyright holder(s). Responsibility for obtaining permission, and for any use or distribution of this work, rests exclusively with the user and not the UC Santa Cruz Library. For more information on copyright, please visit: guides.library.ucsc.edu/speccoll/reproduction-publication.",Restricted,http://rightsstatements.org/vocab/InC/1.0/,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,
,row: 3,4 recordings,MS 414,316,,,2019,1964-08-21,1964,1964 Cabrillo Music Festival: Concert 1,,,,,,http://id.loc.gov/authorities/subjects/sh85088768; http://id.loc.gov/authorities/subjects/sh85022422,,http://www.geonames.org/5324400/aptos.html,http://vocab.getty.edu/aat/300403949,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_3834.wav,row: 4,,,,ms0414_rec_3834,ms0414_rec_3834.wav,,,,"Part 1: Serenade No 12 in e minor, k 388",,Performers: Cabrillo Festival Orchestra,Cabrillo Festival Orchestra,http://id.loc.gov/authorities/names/n80022788,http://id.loc.gov/authorities/names/no91010323,,,,,,,,,,,,,,
ms0414_rec_3835.wav,row: 4,,,,ms0414_rec_3835,ms0414_rec_3835.wav,,,,Part 2: Serenade Opus 24,,Performers: Cabrillo Festival Orchestra,Cabrillo Festival Orchestra,http://id.loc.gov/authorities/names/n80032780,,,,,,,,,,,,,,,
ms0414_rec_3836.wav,row: 4,,,,ms0414_rec_3836,ms0414_rec_3836.wav,,,,"Part 3: Die Serenaden for Soprano, Oboe, Violin, and Cello, Op.35 (1925)",,Performers: Cabrillo Festival Orchestra,Cabrillo Festival Orchestra,http://id.loc.gov/authorities/names/n79077225,,,,,,,,,,,,,,,
ms0414_rec_3837_3838.wav,row: 4,,,,ms0414_rec_3837,ms0414_rec_3837_3838.wav,,,,"Part 4: Serenade No. 1 in D Major, Op. 11, for orchestra (1857-58)",,Performers: Cabrillo Festival Orchestra,Cabrillo Festival Orchestra,http://id.loc.gov/authorities/names/n79077221,,,,,,,,,,,,,,,
,row: 3,1 recording,MS 414,317,,,2019,1964-08-22,1964,1964 Cabrillo Music Festival: Concert 2,,,,,,,,,http://vocab.getty.edu/aat/300403949,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_3853.wav,row: 9,,,,ms0414_rec_3853,ms0414_rec_3853.wav,,,,Der Krämerspiegel - Song Cycle,,,,http://id.loc.gov/authorities/names/n79041680,,,,,,,,,,,,,,,
,row: 3,3 recordings,MS 414,316,,,2019,1964-08-23,1964,1964 Cabrillo Music Festival: Concert 3,,,,,,,,,http://vocab.getty.edu/aat/300403949,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_3840.wav,row: 11,,,,ms0414_rec_3840,ms0414_rec_3840.wav,,,,"Part 1: Duo in A Major, for violin and piano, Op. 162, D. 574 (1817)",,,,http://id.loc.gov/authorities/names/n50000561,,,,,,,,,,,,,,,
ms0414_rec_3841.wav,row: 11,,,,ms0414_rec_3841,ms0414_rec_3841.wav,,,,Part 2: Four Last Songs,,,,http://id.loc.gov/authorities/names/n80067106,,,,,,,,,,,,,,,
ms0414_rec_3842_3839.wav,row: 11,,,,ms0414_rec_3842,ms0414_rec_3842_3839.wav,,,,Part 3: Symphony on G (1947-54),World Premiere,,,http://id.loc.gov/authorities/names/n82099801,,,,,,,,,,,,,,,
,row: 3,1 recording,MS 414,317,,,2019,1964-08-28,1964,1964 Cabrillo Music Festival: Concert 4,,,,,,,,,http://vocab.getty.edu/aat/300403949,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_3851.wav,row: 15,,,,ms0414_rec_3851,ms0414_rec_3851.wav,,,,"Symphony No 4 in C Minor “Tragic Symphony”, D. 417 (ca. 1816)",,,,http://id.loc.gov/authorities/names/n50000561,,,,,,,,,,,,,,,
,row: 3,3 recordings,MS 414,,,,2019,1964-08-29,1964,1964 Cabrillo Music Festival: Concert 5,,,,,,,,,http://vocab.getty.edu/aat/300403949,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_3855.wav,row: 17,,,229,ms0414_rec_3855,ms0414_rec_3855.wav,,,,Part 1: Rondo Ritmico Con Introduzione [3rd movement of the “Chamber Concerto”] (1923–25),,,,http://id.loc.gov/authorities/names/n50007790,,,,,,,,,,,,,,,
ms0414_rec_3852.wav,row: 17,,,317,ms0414_rec_3852,ms0414_rec_3852.wav,,,,Part 2: Violin Concerto No. 5 in A Major K. 219 (1775),,,,http://id.loc.gov/authorities/names/n80022788,,,,,,,,,,,,,,,
ms0414_rec_3850_1.wav,row: 17,,,317,ms0414_rec_3850,ms0414_rec_3850_1.wav,,,,"Part 3: Piano Sonata, for four hands (1938)",,,,http://id.loc.gov/authorities/names/n80022788,,,,,,,,,,,,,,,
ms0414_rec_3850_2.wav,row: 17,,,317,ms0414_rec_3850,ms0414_rec_3850_2.wav,,,,Part 4: Op. 138 (1849),,,,http://id.loc.gov/authorities/names/n80022788,,,,,,,,,,,,,,,
,row: 3,3 recordings,MS 414,317,,,2019,1964-08-29,1964,1964 Cabrillo Music Festival: Concert 6,,,,,,,,,http://vocab.getty.edu/aat/300403949,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_3854.wav,row: 22,,,,ms0414_rec_3854,ms0414_rec_3854.wav,,,,"Part 1: Idomeneo, Re di Crefa, K. 366: Act 1 libretto by Giambattista Varesco (ca. 1781)",,,,http://id.loc.gov/authorities/names/n80022788,,,,,,,,,,,,,,,
ms0414_rec_3849.wav,row: 22,,,,ms0414_rec_3849,ms0414_rec_3849.wav,,,,"Part 2: Idomeneo, Re di Crefa, K. 366: Act 2 libretto by Giambattista Varesco (ca. 1781) / Wolfgang Amadeus Mozart",,,,http://id.loc.gov/authorities/names/n80022788,,,,,,,,,,,,,,,
ms0414_rec_3845.wav,row: 22,,,,ms0414_rec_3845,ms0414_rec_3845.wav,,,,"Part 3: Idomeneo, Re di Crefa, K. 366: Act 3 libretto by Giambattista Varesco (ca. 1781) / Wolfgang Amadeus Mozart",,,,http://id.loc.gov/authorities/names/n80022788,,,,,,,,,,,,,,,
,row: 3,5 recordings,MS 414,317,,,2019,1964-08-30,1964,1964 Cabrillo Music Festival: Concert 7,,,,,,,,,http://vocab.getty.edu/aat/300403949,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_3846_1.wav,row: 26,,,,ms0414_rec_3846,ms0414_rec_3846_1.wav,,,,Part 1: Die Gerechten Werden Weggerafft (1686),,,,http://id.loc.gov/authorities/names/n88634110,,,,,,,,,,,,,,,
ms0414_rec_3846_2.wav,row: 26,,,,ms0414_rec_3846,ms0414_rec_3846_2.wav,,,,"Part 2: “Three Madrigals”, for violin and viola (1947-50)",,,,http://id.loc.gov/authorities/names/n80122955,,,,,,,,,,,,,,,
ms0414_rec_3847_1.wav,row: 26,,,,ms0414_rec_3847,ms0414_rec_3847_1.wav,,,,"Part 3: Ch’io Mi Scordi Di Te, K. 505 (1786)",,,,http://id.loc.gov/authorities/names/n80022788,,,,,,,,,,,,,,,
ms0414_rec_3847_2.wav,row: 26,,,,ms0414_rec_3847,ms0414_rec_3847_2.wav,,,,Part 4: Three Songs,,,,http://id.loc.gov/authorities/names/no91010323,,,,,,,,,,,,,,,
ms0414_rec_3848.wav,row: 26,,,,ms0414_rec_3848,ms0414_rec_3848.wav,,,,Part 5: Hemmet eure Tränenflut,,,,http://id.loc.gov/authorities/names/n79077215,,,,,,,,,,,,,,,
,row: 3,1 recording,MS 414,335,,,2019,1966-08-19,1966,1966 Cabrillo Music Festival: Concert 1,,,,,,,,,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_3810_3811.wav,row: 32,,,,ms0414_rec_3810,ms0414_rec_3810_3811.wav,,,,"Symphony No. 2 in C Major, Op. 61 (1845-46)",,,,http://id.loc.gov/authorities/names/n50000565,,,,,,,,,,,,,,,
,row: 3,2 recordings,MS 414,335,,,2019,1966-08-20,1966,1966 Cabrillo Music Festival: Concert 2,,,,,,,,,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_3812.wav,row: 34,,,,ms0414_rec_3812,ms0414_rec_3812.wav,,,,Part 1: Piano Sonata No. 50 in C Major (1794-95),,,,http://id.loc.gov/authorities/names/n79091193,,,,,,,,,,,,,,,
ms0414_rec_3813_3814.wav,row: 34,,,,ms0414_rec_3813,ms0414_rec_3813_3814.wav,,,,"Part 2: Thirty-Three Variations on a Waltz by Anton Diabelli in C Major, Op. 120 (1819)",,,,http://id.loc.gov/authorities/names/n79107741,,,,,,,,,,,,,,,
,row: 3,2 recordings,MS 414,335,,,2019,1966-08-21,1966,1966 Cabrillo Music Festival: Concert 3,,,,,,,,,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_3815.wav,row: 37,,,,ms0414_rec_3815,ms0414_rec_3815.wav,,,,Part 1: Songs of a Wayfarer,,,,http://id.loc.gov/authorities/names/n80067106,,,,,,,,,,,,,,,
ms0414_rec_3816.wav,row: 37,,,,ms0414_rec_3816,ms0414_rec_3816.wav,,,,Part 2: Violin Concerto in D Major (1931),,,,http://id.loc.gov/authorities/names/n79070061,,,,,,,,,,,,,,,
,row: 3,4 recordings,MS 414,,ms0414_rec_3816,,2019,1966-08-21,1966,1966 Cabrillo Music Festival: Concert 4,,,,,,,,,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_0603.wav,row: 40,,,317,ms0414_rec_0603,ms0414_rec_0603.wav,,,,"Part 1: Sonata for Cello and Piano No. 5 in D Major, Op. 102, No. 2 (1815)",,,,http://id.loc.gov/authorities/names/n79107741,,,,,,,,,,,,,,,
ms0414_rec_0604.wav,row: 40,,,318,ms0414_rec_0604,ms0414_rec_0604.wav,,,,Part 2: Fünf Lieder,Songs,,,http://id.loc.gov/authorities/names/n79124575,,,,,,,,,,,,,,,
ms0414_rec_0605_1.wav,row: 40,,,318,ms0414_rec_0605,ms0414_rec_0605_1.wav,,,,Part 3: Vier Lieder,Songs,,,http://id.loc.gov/authorities/names/n79139515,,,,,,,,,,,,,,,
ms0414_rec_0605_2.wav,row: 40,,,318,ms0414_rec_0605,ms0414_rec_0605_2.wav,,,,Part 4: Tre Sanger,,,,http://id.loc.gov/authorities/names/n79068399,,,,,,,,,,,,,,,
,row: 3,4 recordings,MS 414,328,,,2019,1966-08-21,1970,1970 Cabrillo Music Festival: Concert 1,,,,,,,,,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
