work_type,filename,parent,extent,masterFilename,collectionCallNumber,title,description,creator,contributor,dateCreatedDisplay,dateCreated,subjectPlace,subjectName,subjectTopic,resourceType,language,physicalFormat,physicalDescription,relatedResource,rightsStatement,rightsHolder,accessRights,rightsStatus,publisher,publisherHomepage,accessionNumber,donorProvenance,staffNote,boxFolder,genre,itemCallNumber,scale
collection,,,14 collections,,,UC Santa Cruz Campus History Collections,"This collection includes photographs and other material documenting the historical development, culture and social environment of one of the UC system's most beautiful campuses, the University of California, Santa Cruz.",,,,,,,,,,,,,,,,,,,,,,,,,
collection,,row:2,395 images,,MS 90,Gordon R. Sinclair papers,"This collection contains photographs documenting the City of Santa Cruz's bid for the new UC campus led by the Santa Cruz Sentinel's Managing Editor, Gordon R. Sinclair.",,,1957-1979,1957; 1958; 1959; 1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969; 1970; 1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979,,info:lc/authorities/names/n79059545,,http://purl.org/dc/dcmitype/Collection,,http://vocab.getty.edu/aat/300128347,,https://oac.cdlib.org/findaid/ark:/13030/c8sf2xtt/,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Covello & Covello Photography,Public,http://rightsstatements.org/vocab/InC/1.0/,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,,,,,,,
work,ms0090_pho_0002.tif,row:3,,ms0090_pho_0002.tif,,East Field House: general view,,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/11903395/east-field-house.html,info:lc/authorities/names/n79059545,,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0003.tif,row:3,,ms0090_pho_0003.tif,,"Clark Kerr, president of the University of California, and Dean McHenry, chancellor of UC Santa Cruz",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545; info:lc/authorities/names/n78093730; info:lc/authorities/names/n50007243,info:lc/authorities/subjects/sh85028268,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0004.tif,row:3,,ms0090_pho_0004.tif,,"Clark Kerr, president of the University of California, and Dean McHenry, chancellor of UC Santa Cruz",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545; info:lc/authorities/names/n78093730; info:lc/authorities/names/n50007243,info:lc/authorities/subjects/sh85028268,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0005.tif,row:3,,ms0090_pho_0005.tif,,"Dean McHenry, chancellor of UC Santa Cruz",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545; info:lc/authorities/names/n50007243,info:lc/authorities/subjects/sh85028268,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0010.tif,row:3,,ms0090_pho_0010.tif,,"Physical Planning Office clerical staff: (top to bottom of stairs) Helen Sherra, senior accounting clerk\; Wanda Roades, principal clerk\; Isabel Jordan, principal accounting clerk\; Sally Hegland, administrative assistant to Jack Wagstaff\; Peggy Schiele\; Georgia Liguori\; Anne Illingworth, senior typist clerk\; Lueen Gardner, secretary, chancellor's office",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh98006638,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition A, p. 42",,,,,,,,,,,,,
work,ms0090_pho_0011.tif,row:3,,ms0090_pho_0011.tif,,"Pioneer Class: dance at the East Field House: students doing the ""Bunny Hop""",,"Dick, Vester",,1965-09-27,1965-09-27,http://www.geonames.org/11903395/east-field-house.html,info:lc/authorities/names/n79059545,UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356; info:lc/authorities/subjects/sh85111945; info:lc/authorities/subjects/sh85035649,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition C",,,,,,,,,,,,,
work,ms0090_pho_0012.tif,row:3,,ms0090_pho_0012.tif,,"Pioneer Class: Meredith Ayer, junior, San Jose, and Tracie Cave, junior, San Jose, on the path between Central Services and Field House",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,Campus grounds; UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition A, p. 27",,,,,,,,,,,,,
work,ms0090_pho_0013.tif,row:3,,ms0090_pho_0013.tif,,"Pioneer Class: Gil Null, junior, San Francisco, and Pam Cain, freshman, San Francisco",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,Campus grounds; UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition B, p. 39",,,,,,,,,,,,,
work,ms0090_pho_0014.tif,row:3,,ms0090_pho_0014.tif,,"Pioneer Class ""Opening Day"": Kathy Casey, Dr. & Mrs. Keesing (Roger Keesing, professor of anthropology), and Kirsten ""Bambi"" Goddard",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545; info:lc/authorities/names/n50046770,UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356; info:lc/authorities/subjects/sh85028378,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition B, p. 10",,,,,,,,,,,,,
work,ms0090_pho_0015.tif,row:3,,ms0090_pho_0015.tif,,"Pioneer Class ""Opening Day"": Betsy Avery, senior preceptor, meeting with freshmen, Brian Stanger, Mark Rinsler, Keith Anderson, and Charles McDonald",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,UCSC Pioneer Class; info:lc/authorities/subjects/sh85028268; info:lc/authorities/subjects/sh85028356,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition C, p. 21",,,,,,,,,,,,,
work,ms0090_pho_0016.tif,row:3,,ms0090_pho_0016.tif,,"Pioneer Class: Donald Tryk, freshman, Saratoga, practicing the bagpipe on a hill 1/2 mile from the trailers",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,Campus grounds; UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356; info:lc/authorities/subjects/sh85010971; info:lc/authorities/subjects/sh85089027,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition C, p. 31",,,,,,,,,,,,,
work,ms0090_pho_0017.tif,row:3,,ms0090_pho_0017.tif,,"Pioneer Class: David Small, junior, Riverside, studying on a sewer manhole",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition C, p. 33",,,,,,,,,,,,,
work,ms0090_pho_0018.tif,row:3,,ms0090_pho_0018.tif,,"Pioneer Class: Curtis Chatto with Santa Cruz Transit Co., training student drivers: Mike Trainor, junior, Baraboo, WI and Bill Crowley, junior, Napa\; and bus passengers Mary Gordon, freshman, Palos Verdes, and Russ Smith",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356; info:lc/authorities/subjects/sh85018245,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition C, p. 32",,,,,,,,,,,,,
work,ms0090_pho_0019.tif,row:3,,ms0090_pho_0019.tif,,"Pioneer Class: Tom Weiner, freshman, Los Angeles, and Mike Fresco, freshman, Los Angeles, play ping-pong",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356; info:lc/authorities/subjects/sh85111945,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition C, p. 32",,,,,,,,,,,,,
work,ms0090_pho_0020.tif,row:3,,ms0090_pho_0020.tif,,"Pioneer Class: Barbara Glascock, freshman, Salem, Oregon\; Sharon Kerdus, freshman, Sacramento\; Sharon Howser, freshman, Salem, Oregon, dining in the East Field House",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,UCSC Pioneer Class; info:lc/authorities/subjects/sh85028356,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0021.tif,row:3,,ms0090_pho_0021.tif,,"Verna L. ""Molly"" Markham, assistant supervisor in physical education",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh85028268,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition B, p. 35",,,,,,,,,,,,,
work,ms0090_pho_0022.tif,row:3,,ms0090_pho_0022.tif,,"Francis H. Clauser, vice chancellor of academic affairs, professor of engineering",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh85028268; info:lc/authorities/subjects/sh85028378; info:lc/authorities/subjects/sh85105182,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition A, p. 8",,,,,,,,,,,,,
work,ms0090_pho_0023.tif,row:3,,ms0090_pho_0023.tif,,"Kenneth V. Thimann, provost of crown college, professor of biological sciences",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh85028268; info:lc/authorities/subjects/sh85028378; info:lc/authorities/subjects/sh85105182,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition B, p. 26",,,,,,,,,,,,,
work,ms0090_pho_0024.tif,row:3,,ms0090_pho_0024.tif,,Central Services Building: construction view,,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/11903363/hahn-student-services.html,info:lc/authorities/names/n79059545,Construction views,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0025.tif,row:3,,ms0090_pho_0025.tif,,Stevenson College: carpenter George Camber on the roof of the Stevenson dining room,,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5398905,info:lc/authorities/names/n79059545; info:lc/authorities/names/n85039716,Construction views; info:lc/authorities/subjects/sh85031450,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition B, p. 21",,,,,,,,,,,,,
work,ms0090_pho_0026.tif,row:3,,ms0090_pho_0026.tif,,Crown College: perspective drawing of residence hall,"Inventory note: ""College III ""Residence Hall, Residential College No. 3"" [rendering by architects Ernest J. Kump Associates]""","Dick, Vester",info:lc/authorities/names/no2016066969,1965-07-01,1965-07-01,http://www.geonames.org/5340883,"info:lc/authorities/names/n79059545; University of California, Santa Cruz. Crown College",info:lc/authorities/subjects/sh85039107,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0028.tif,row:3,,ms0090_pho_0028.tif,,Stevenson College: construction view of dining hall,,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5398905,info:lc/authorities/names/n79059545; info:lc/authorities/names/n85039716,Construction views; info:lc/authorities/subjects/sh85031450,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0029.tif,row:3,,ms0090_pho_0029.tif,,Stevenson College: construction view of dining hall,,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5398905,info:lc/authorities/names/n79059545; info:lc/authorities/names/n85039716,Construction views; info:lc/authorities/subjects/sh85031450,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0030.tif,row:3,,ms0090_pho_0030.tif,,"Cowell College: Bob Robertson, left, removes a sliver from the hand of Bob Carter",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,Construction views; info:lc/authorities/subjects/sh85031450,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition A, p. 18",,,,,,,,,,,,,
work,ms0090_pho_0031.tif,row:3,,ms0090_pho_0031.tif,,Cowell College provost's house: construction view,,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,Construction views; info:lc/authorities/subjects/sh85031450,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition B, p. 22",,,,,,,,,,,,,
work,ms0090_pho_0032.tif,row:3,,ms0090_pho_0032.tif,,McHenry Library: construction view,,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/11903349/mchenry-library.html,info:lc/authorities/names/n79059545; info:lc/authorities/names/n79028220,Construction views; info:lc/authorities/subjects/sh85031450,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition B, p. 21",,,,,,,,,,,,,
work,ms0090_pho_0033.tif,row:3,,ms0090_pho_0033.tif,,"UC Santa Cruz grounds aerial photograph: lower campus, Coolidge Drive",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh99001232,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_0034.tif,row:3,,ms0090_pho_0034.tif,,"East Field House, the temporary student housing trailers, and Cowell College under construction in the background",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/11903395/east-field-house.html; http://www.geonames.org/11903436/camper-park.html; http://www.geonames.org/11903347/cowell-college.html,info:lc/authorities/names/n79059545; info:lc/authorities/names/nr91016671,Construction views,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition A, p. 14",,,,,,,,,,,,,
work,ms0090_pho_0035.tif,row:3,,ms0090_pho_0035.tif,,"Central Services Building: construction view, landscaping",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/11903363/hahn-student-services.html,info:lc/authorities/names/n79059545,,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition A, p. 9",,,,,,,,,,,,,
work,ms0090_pho_0036.tif,row:3,,ms0090_pho_0036.tif,,"University Religious Center: finance committee members Rev. George Flora, Alan J. Levin, and Rev. Charles P. Dickey",,"Dick, Vester",,1965-10-01,1965-10-01,http://www.geonames.org/5404900,info:lc/authorities/names/n79059545,,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition A, p. 29",,,,,,,,,,,,,
work,ms0090_pho_0027.tif,row:3,,ms0090_pho_0027.tif,,Crown College: perspective drawing,"Inventory note: ""College III [architect's rendering]""","Dick, Vester",info:lc/authorities/names/no2016066969,1965-07-01,1965-07-01,http://www.geonames.org/5340883,"info:lc/authorities/names/n79059545; University of California, Santa Cruz. Crown College",,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/14/65, Opening Edition A, p. 33",,,,,,,,,,,,,
work,ms0090_pho_58_299_cs1_1.tif,row:3,,ms0090_pho_58_299_cs1_1.tif,,"Cowell Ranch lime works: cooperage and kilns, from above",,"Dick, Vester",,1958-05-01,1958-05-01,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_58_299_2.tif,row:3,,ms0090_pho_58_299_2.tif,,"Cowell Ranch lime works: cooperage, kilns, with worker's cabin in background",,"Dick, Vester",,1958-05-01,1958-05-01,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_58_299_cs1_2.tif,row:3,,ms0090_pho_58_299_cs1_2.tif,,"Cowell Ranch lime works: cooperage, kilns, with worker's cabin in background",,"Dick, Vester",,1958-05-01,1958-05-01,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_58_299_cs1_3.tif,row:3,,ms0090_pho_58_299_cs1_3.tif,,"Cowell Lime Works Historic District at the University of California, Santa Cruz: workers' cabins",,"Dick, Vester",,1958-05-01,1958-05-01,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_58_295_1.tif,row:3,,ms0090_pho_58_295_1.tif,,Cowell Ranch (future site of UC Santa Cruz): fruit trees in bloom,,"Dick, Vester",,1958-04-11,1958-04-11,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh85137241,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_58_295_cs1_2.tif,row:3,,ms0090_pho_58_295_cs1_2.tif,,Cowell Ranch (future site of UC Santa Cruz): fruit trees in bloom,,"Dick, Vester",,1958-04-11,1958-04-11,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh85137241,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_58_295_cs1_3.tif,row:3,,ms0090_pho_58_295_cs1_3.tif,,Cowell Ranch (future site of UC Santa Cruz): fruit trees in bloom,,"Dick, Vester",,1958-04-11,1958-04-11,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh85137241,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_58_295_cs1_1.tif,row:3,,ms0090_pho_58_295_cs1_1.tif,,Cowell Ranch (future site of UC Santa Cruz): fruit trees in bloom,,"Dick, Vester",,1958-04-11,1958-04-11,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh85137241,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_58_259_cs1_1.tif,row:3,,ms0090_pho_58_259_cs1_1.tif,,Cowell Ranch (future site of UC Santa Cruz): panoramic view towards the city of Santa Cruz and the Monterey Bay,,"Dick, Vester",,1958-03-21,1958-03-21,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh85097477,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_58_259_cs1_2.tif,row:3,,ms0090_pho_58_259_cs1_2.tif,,Cowell Ranch (future site of UC Santa Cruz): panoramic view towards the city of Santa Cruz and the Monterey Bay,,"Dick, Vester",,1958-03-21,1958-03-21,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh85097477,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_58_259_cs1_3.tif,row:3,,ms0090_pho_58_259_cs1_3.tif,,Cowell Ranch (future site of UC Santa Cruz): panoramic view towards the city of Santa Cruz and the Monterey Bay,,"Dick, Vester",,1958-03-21,1958-03-21,http://www.geonames.org/11903520/cowell-ranch-historical.html,info:lc/authorities/names/n79059545,info:lc/authorities/subjects/sh85097477,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,,,,,,,,,,,,,,
work,ms0090_pho_61_1003_cs1_01.tif,row:3,,ms0090_pho_61_1003_cs1_01.tif,,"University of California, Santa Cruz planning: reception at the Santa Cruz Women's Club: receiving line with unidentified visitors, the Swensons, Mrs. Jane McHenry, and Chancellor Dean McHenry",,"Dick, Vester",,1961-10-05,1961-10-05,http://www.geonames.org/5404900,"info:lc/authorities/names/n79059545; McHenry, Jane Snyder; info:lc/authorities/names/n50007243",,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/6/61, p. 3.",,,,,,,,,,,,,
work,ms0090_pho_61_1003_cs1_02.tif,row:3,,ms0090_pho_61_1003_cs1_02.tif,,"University of California, Santa Cruz planning: reception at the Santa Cruz Women's Club: receiving line with unidentified visitors, the Swensons, Mrs. Jane McHenry, and Chancellor Dean McHenry",,"Dick, Vester",,1961-10-05,1961-10-05,http://www.geonames.org/5404900,"info:lc/authorities/names/n79059545; McHenry, Jane Snyder; info:lc/authorities/names/n50007243",,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/6/61, p. 3.",,,,,,,,,,,,,
work,ms0090_pho_61_1003_cs1_03.tif,row:3,,ms0090_pho_61_1003_cs1_03.tif,,"University of California, Santa Cruz planning: reception at the Santa Cruz Women's Club: receiving line with unidentified visitors, the Swensons, Mrs. Jane McHenry, and Chancellor Dean McHenry",,"Dick, Vester",,1961-10-05,1961-10-05,http://www.geonames.org/5404900,"info:lc/authorities/names/n79059545; McHenry, Jane Snyder; info:lc/authorities/names/n50007243",,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/6/61, p. 3.",,,,,,,,,,,,,
work,ms0090_pho_61_1003_cs1_04.tif,row:3,,ms0090_pho_61_1003_cs1_04.tif,,"University of California, Santa Cruz planning: reception at the Santa Cruz Women's Club: receiving line with unidentified visitors, the Swensons, Mrs. Jane McHenry, and Chancellor Dean McHenry",,"Dick, Vester",,1961-10-05,1961-10-05,http://www.geonames.org/5404900,"info:lc/authorities/names/n79059545; McHenry, Jane Snyder; info:lc/authorities/names/n50007243",,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/6/61, p. 3.",,,,,,,,,,,,,
work,ms0090_pho_61_1003_cs1_05.tif,row:3,,ms0090_pho_61_1003_cs1_05.tif,,"University of California, Santa Cruz planning: reception at the Santa Cruz Women's Club: receiving line with unidentified visitors, the Swensons, Mrs. Jane McHenry, and Chancellor Dean McHenry",,"Dick, Vester",,1961-10-05,1961-10-05,http://www.geonames.org/5404900,"info:lc/authorities/names/n79059545; McHenry, Jane Snyder; info:lc/authorities/names/n50007243",,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/6/61, p. 3.",,,,,,,,,,,,,
work,ms0090_pho_61_1003_cs1_06.tif,row:3,,ms0090_pho_61_1003_cs1_06.tif,,"University of California, Santa Cruz planning: reception at the Santa Cruz Women's Club: receiving line with unidentified visitors, the Swensons, Mrs. Jane McHenry, and Chancellor Dean McHenry","From the Sentinel: ""Dr. Robert E. Swenson, president of Cabrillo college, and Mrs. Swenson shared receiving line honors with the McHenrys""","Dick, Vester",,1961-10-05,1961-10-05,http://www.geonames.org/5404900,"info:lc/authorities/names/n79059545; McHenry, Jane Snyder; info:lc/authorities/names/n50007243",,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/6/61, p. 3.",,,,,,,,,,,,,
work,ms0090_pho_61_1003_cs1_07.tif,row:3,,ms0090_pho_61_1003_cs1_07.tif,,"University of California, Santa Cruz planning: reception at the Santa Cruz Women's Club: Robert Swenson, president of Cabrillo College, Mrs. Fran Swenson, Mrs. Jane McHenry, and Chancellor Dean McHenry",,"Dick, Vester",,1961-10-05,1961-10-05,http://www.geonames.org/5404900,"info:lc/authorities/names/n79059545; McHenry, Jane Snyder; info:lc/authorities/names/n50007243",,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/6/61, p. 3, also Santa Cruz Sentinel: University of California, Santa Cruz, Opening Edition A, 10/14/65, p. 18.",,,,,,,,,,,,,
work,ms0090_pho_61_1003_cs1_08.tif,row:3,,ms0090_pho_61_1003_cs1_08.tif,,"University of California, Santa Cruz planning: reception at the Santa Cruz Women's Club: Robert Swenson, president of Cabrillo College, Mrs. Fran Swenson, Mrs. Jane McHenry, and Chancellor Dean McHenry",,"Dick, Vester",,1961-10-05,1961-10-05,http://www.geonames.org/5404900,"info:lc/authorities/names/n79059545; McHenry, Jane Snyder; info:lc/authorities/names/n50007243",,http://purl.org/dc/dcmitype/Image,,http://vocab.getty.edu/aat/300128347,,"Santa Cruz Sentinel, 10/6/61, p. 3, also Santa Cruz Sentinel: University of California, Santa Cruz, Opening Edition A, 10/14/65, p. 18.",,,,,,,,,,,,,
