filename,parent,parent,collection,title,creator,description,dateCreatedDisplay,dateCreated,dateDigitized,subjectName,subjectTopic,resourceType,physicalFormat,genre,extent,language,rightsStatement,accessRights,publisher,publisherHomepage,itemCallNumber,masterFilename
,,,UCSC Faculty Lectures,Oriental art,"Holmes, Mary","Lectures given in Art 11, Oriental Art, at the University of California, Santa Cruz in Winter Quarter 1978.",1978,1978,2015,http://id.loc.gov/authorities/names/n79059545,http://id.loc.gov/authorities/subjects/sh85007549,http://purl.org/dc/dcmitype/Sound,http://vocab.getty.edu/aat/300028653,http://vocab.getty.edu/aat/300026673,15 lectures; approximately 13 hrs.,http://id.loc.gov/vocabulary/iso639-2/eng,"Property rights for this collection reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",For educational uses only,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,LCD12373,
lcd12373_01.wav,row:prev,row:3,,"Lecture delivered on January 3, 1978",,,1978-01-03,1978-01-03,,,,,,,,,,,,,,lcd12373_01.wav
lcd12373_02.aif,row:prev,row:3,,"Lecture delivered on January 16, 1978",,,1978-01-16,1978-01-16,,,,,,,,,,,,,,lcd12373_02.aif
lcd12373_03.aif,row:prev,row:3,,"Lecture delivered on January 18, 1978",,,1978-01-18,1978-01-18,,,,,,,,,,,,,,lcd12373_03.aif
lcd12373_05.aif,row:prev,row:3,,"Lecture delivered on January 25, 1978",,,1978-01-25,1978-01-25,,,,,,,,,,,,,,lcd12373_05.aif
lcd12373_06.aif,row:prev,row:3,,"Lecture delivered on January 30, 1978",,,1978-01-30,1978-01-30,,,,,,,,,,,,,,lcd12373_06.aif
lcd12373_07.aif,row:prev,row:3,,"Lecture delivered on February 1, 1978",,,1978-02-01,1978-02-01,,,,,,,,,,,,,,lcd12373_07.aif
lcd12373_08.aif,row:prev,row:3,,"Lecture delivered on February 8, 1978",,,1978-02-08,1978-02-08,,,,,,,,,,,,,,lcd12373_08.aif
lcd12373_10.aif,row:prev,row:3,,"Lecture delivered on Fenbruary 17, 1978",,,1978-02-17,1978-02-17,,,,,,,,,,,,,,lcd12373_10.aif
lcd12373_11.aif,row:prev,row:3,,"Lecture delivered on February 22, 1978",,,1978-02-22,1978-02-22,,,,,,,,,,,,,,lcd12373_11.aif
lcd12373_13.aif,row:prev,row:3,,"Lecture delivered on March 6, 1978",,,1978-03-06,1978-03-06,,,,,,,,,,,,,,lcd12373_13.aif
lcd12373_14.aif,row:prev,row:3,,"Lecture delivered on March 8, 1978",,,1978-03-08,1978-03-08,,,,,,,,,,,,,,lcd12373_14.aif
lcd12373_15.aif,row:prev,row:3,,"Lecture delivered on March 13, 1978",,,1978-03-13,1978-03-13,,,,,,,,,,,,,,lcd12373_15.aif
lcd12373_16.aif,row:prev,row:3,,"Lecture delivered on March 15, 1978",,,1978-03-15,1978-03-15,,,,,,,,,,,,,,lcd12373_16.aif
,,,UCSC Faculty Lectures,The development of Western civilization,http://id.loc.gov/authorities/names/n89610766,"Lectures given in Crown College courses 44V, 44W, and 44X at the University of California, Santa Cruz, Fall Quarter 1970 through Spring Quarter 1971.",1970-1971,1970; 1971,2015,http://id.loc.gov/authorities/names/n79059545,http://id.loc.gov/authorities/subjects/sh85026424,http://purl.org/dc/dcmitype/Sound,http://vocab.getty.edu/aat/300028653,http://vocab.getty.edu/aat/300026673,52 lectures; approximately 53 hrs.,http://id.loc.gov/vocabulary/iso639-2/eng,"Property rights for this collection reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",For educational uses only,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,LCD12372,
lcd12372_01.aif,row:prev,,,"Lecture delivered on October 6, 1970",,,1970-10-06,1970-10-06,,,,,,,,,,,,,,lcd12372_01.aif
lcd12372_02.aif,row:prev,row:19,,"Lecture delivered on October 8, 1970",,,1970-10-08,1970-10-08,,,,,,,,,,,,,,lcd12372_02.aif
lcd12372_03.aif,row:prev,row:19,,"Lecture delivered on October 13, 1970",,,1970-10-13,1970-10-13,,,,,,,,,,,,,,lcd12372_03.aif
lcd12372_04.aif,row:prev,row:19,,"Lecture delivered on October 15, 1970",,,1970-10-15,1970-10-15,,,,,,,,,,,,,,lcd12372_04.aif
lcd12372_05.aif,row:prev,row:19,,"Lecture delivered on October 20, 1970",,,1970-10-20,1970-10-20,,,,,,,,,,,,,,lcd12372_05.aif
lcd12372_07.aif,row:prev,row:19,,"Lecture delivered on October 27, 1970",,,1970-10-27,1970-10-27,,,,,,,,,,,,,,lcd12372_07.aif
lcd12372_09.aif,row:prev,row:19,,"Lecture delivered on November 3, 1970",,,1970-11-03,1970-11-03,,,,,,,,,,,,,,lcd12372_09.aif
lcd12372_10.aif,row:prev,row:19,,"Lecture delivered on November 5, 1970",,,1970-11-05,1970-11-05,,,,,,,,,,,,,,lcd12372_10.aif
lcd12372_11.aif,row:prev,row:19,,"Lecture delivered on November 10, 1970",,,1970-11-10,1970-11-10,,,,,,,,,,,,,,lcd12372_11.aif
lcd12372_12.aif,row:prev,row:19,,"Lecture delivered on November 12, 1970",,,1970-11-12,1970-11-12,,,,,,,,,,,,,,lcd12372_12.aif
lcd12372_13.aif,row:prev,row:19,,"Lecture delivered on November 17, 1970",,,1970-11-17,1970-11-17,,,,,,,,,,,,,,lcd12372_13.aif
lcd12372_14.aif,row:prev,row:19,,"Lecture delivered on November 19, 1970",,,1970-11-19,1970-11-19,,,,,,,,,,,,,,lcd12372_14.aif
lcd12372_15.aif,row:prev,row:19,,"Lecture delivered on November 24, 1970",,,1970-11-24,1970-11-24,,,,,,,,,,,,,,lcd12372_15.aif
lcd12372_16.aif,row:prev,row:19,,"Lecture delivered on December 1, 1970",,,1970-12-01,1970-12-01,,,,,,,,,,,,,,lcd12372_16.aif
